t_ms,ax,ay,az,gx,gy,gz,prox
99359,4.16,9.22,-2.0,-0.04,-0.05,-0.04,97
99859,4.02,9.29,-1.95,-0.05,-0.06,-0.04,95
100359,4.13,9.15,-2.06,-0.05,-0.05,-0.05,94
100859,4.17,9.27,-1.92,-0.03,-0.04,-0.05,95
101359,4.16,9.22,-2.01,-0.04,-0.05,-0.05,93
101859,4.06,9.23,-1.93,-0.05,-0.06,-0.05,92
102359,4.12,9.17,-1.96,-0.03,-0.06,-0.04,91
102859,3.99,9.28,-1.92,-0.04,-0.04,-0.05,93
103359,4.12,9.26,-1.98,-0.04,-0.06,-0.05,93
103859,4.17,9.28,-1.97,-0.04,-0.05,-0.03,93
104359,4.02,9.19,-1.87,-0.03,-0.05,-0.06,97
104859,3.99,9.27,-1.94,-0.04,-0.05,-0.07,95
105359,3.97,9.28,-1.95,-0.04,-0.06,-0.02,95
105859,4.03,9.27,-1.95,-0.02,-0.07,-0.03,96
106359,4.02,9.28,-1.89,-0.05,-0.05,-0.05,99
106859,3.84,9.25,-2.0,-0.03,-0.07,-0.05,98
107359,4.11,9.3,-1.88,-0.04,-0.07,-0.04,98
107859,3.9,9.33,-1.96,-0.04,-0.06,-0.04,97
108359,3.96,9.31,-1.83,-0.04,-0.05,-0.06,95
108859,3.95,9.27,-1.91,-0.04,-0.06,-0.06,96
109359,3.94,9.33,-2.01,-0.04,-0.04,-0.05,92
109859,3.96,9.32,-1.79,-0.04,-0.06,-0.03,90
110359,4.03,9.31,-1.86,-0.04,-0.04,-0.05,91
110859,4.01,9.42,-1.89,-0.04,-0.06,-0.04,91
